(68069+1.8474111129762605e-13j),(78101+1.9184653865522705e-12j),(159049-4.618527782440651e-13j),(171499+1.0373923942097463e-12j)
(27.811293222249596-31.47582207491085j),(53.69935611256301-61.93079828702206j),(25.85171334089941+4.603295404053116j),(15.789255402551065+36.0565823971216j)
(33.38939611856275-9.316070934803182j),(42.90437511812156-27.31644766048765j),(-20.359229901502705+27.162154608661783j),(-26.066848790364524+76.99542747281056j)
(-0.1244679057432827-39.732184085996124j),(-43.957712189208536-82.6683050915865j),(-6.957081699488638+5.366839244726285j),(20.999598901070645+35.72266584817761j)
(-6.713517063261871+3.4538709597589223j),(-15.030092462664443-28.347519994114897j),(18.148268409201883+10.59012376525687j),(13.126291279182212+7.751307113085755j)
(5.838695598397009-42.44667125376022j),(-2.4054221517179286-79.75331838077369j),(28.986373220219605+25.951681982324818j),(-19.716722665367676+49.57516072385575j)
(-34.35022016663126-15.63127323840583j),(13.596339206851606-20.62095313868485j),(-40.326394007190046+11.810834375806177j),(-6.228358515989717+8.601865205959129j)
(-12.528970336698244+28.066490423555464j),(-14.057883903263603+24.753138784595325j),(6.786626364176444-33.18676606522604j),(3.7144525326005957-7.166992231745184j)
(-0.22127780625480975+7.175903306193505j),(-42.77941669129949-4.5175334400535405j),(-10.809480753567227+45.96702817966566j),(22.817279319346884+10.175359598210992j)
(18.294328488137086-39.22648900283017j),(14.026239922996886-90.70948937520761j),(-18.90035579128057+69.054203273643j),(-29.37534221921611+67.26683998279708j)
(28.635722135345468+12.480370429039414j),(54.029055081554034-4.241893152548876j),(4.620550447742987-31.97409583062177j),(-29.900615709575952+26.158840955212447j)
(41.78364010109677-35.94030366202531j),(79.07970245657494-19.267287669248965j),(-33.49129243285236-5.768399638373237j),(-35.63223887822071+46.53776176507243j)
(-29.442012753286203-39.169836371979535j),(21.588740049927843-49.77717895015612j),(-6.125392360034503+65.64403542652988j),(-0.38960305077013047+38.85592245106069j)
(-15.108836120334153-25.743118012622137j),(-49.812446102378296-89.52391526572886j),(-27.372702768444885+44.91153320585741j),(-1.037857649225618+58.36306068858487j)
(12.999999999999314-61.99999999999987j),(4.405364961712621e-13-89.00000000000111j),(19.000000000000085+27.999999999999574j),(12.999999999997371+119.99999999999851j)
(-5.387358855334938-69.47345274684704j),(-15.46073104682123-118.05029922626412j),(22.278654566458222+3.497356314397255j),(-14.241362450406122+81.63469449936764j)
(-30.79047605643609-27.970473748700922j),(-55.76093966867106-46.063548430889774j),(-23.086519005244128+44.25270146640362j),(-8.598580098486533+50.18535767433178j)
(-20.82532321075442-56.743073493639955j),(-71.60305749145321-93.42382744961373j),(23.138313965646706+30.720408884423392j),(17.227130950953928+40.92622109396218j)
(-53.323607123704534-38.28962909561853j),(-84.061330992325-120.6073960093421j),(5.067480374584619+59.71655869555586j),(39.312976924877205+77.620294737947j)
(-1.2733487360446851-51.8088859779313j),(-1.1081220169807366-72.86880112729344j),(19.13435196866256+49.77500395355915j),(6.90872809449851+13.75347456213555j)
(-66.2447313378783-62.705113563248005j),(-70.96146756404677-50.11170180779163j),(0.24384171573471036+68.12372067410179j),(-7.119974009217557+34.9948467432198j)
(-28.27710802366415-5.165253395918119j),(-14.57993063298366+11.363705983082276j),(27.633252263983113-11.249397244238294j),(14.984273193200814+16.708330647798665j)
(-38.84666378543511-52.391251512461125j),(-14.284024469421745-58.50056724721819j),(-9.248754021044428+43.99902540316468j),(-28.90267817805066+70.87092087975164j)
(-41.783256626791-77.8024347176859j),(6.709121912004473-70.91303727873668j),(0.6744919531098379+44.85492355408474j),(14.572211819680042+65.33016834722771j)
(5.330480985537392-39.36583196049948j),(-10.714091194584933-80.29114912696139j),(-3.661125102689398+37.960420365001326j),(-13.266208737124467+59.85783955906562j)
(34.438157558898226-48.11537384211794j),(42.48412878178322-15.872755776032772j),(-13.535059202105648+4.3232318622744295j),(-1.6160009567064364+52.82970953367104j)
(-54.74960363386364-82.8774965758183j),(-43.29139624769031-128.47647096319j),(17.335437298818576+72.28627108429453j),(-35.40806027088698+77.15177223137005j)
(-74.94767908381986-20.421134853593532j),(-59.115310499123794-34.61849333157052j),(31.032431744674295+24.999131955282824j),(32.355282232729735+79.3883805779611j)
(16.475369753809808-43.775461090930555j),(4.812294610874517-102.38887911461299j),(33.48618221081426+37.470046869624305j),(-32.34051015884183+37.225481983749745j)
(-16.757975313618687-56.319288257268965j),(-1.3555523183389298-57.37266887798923j),(-13.652088187991055+56.36522509104285j),(-7.707346581041911+116.42731708372872j)
(-71.7956342484108+20.710938569683123j),(-48.98117288993481-14.092740240136568j),(20.605700602988534+27.487563905857478j),(57.309906544134925+50.20636601937512j)
(-56.360159175065036+27.36641628756251j),(-39.41467385896996-17.452077839987382j),(-1.5912534240288707+70.39932319646087j),(19.82260953255029+24.750672397295663j)
(-38.72588127647836-111.64057853910782j),(-94.59153525834321-98.80239725635141j),(53.2856844309622-6.322628236404459j),(14.52144164854272+66.85412513796203j)
(-31.38206907063453-15.464034265773776j),(-28.814687717468455-42.11918980219856j),(24.973451749718627+9.393147277303354j),(20.661975855709787+14.540139720658596j)
(8.76326486010966-6.988732915853174j),(36.33260335784341+36.15374386935158j),(-27.881152589607414+12.936602472877302j),(-3.419844870894043+23.277324137170496j)
(-30.65118591091541-31.831899969641498j),(-5.066092561422657-65.30198934094547j),(27.834413013657134+20.25429435197487j),(-19.932391975335904+37.550608789520524j)
(-47.35577709786268-39.69339065125321j),(-35.274628902490846-62.35518548344517j),(49.9979701201523+24.170181352654037j),(5.992146717598706+27.729496032866948j)
(18.868605114065815-104.26839352888258j),(-10.47884372578904-129.54291214673222j),(-65.91358672304806+58.94743383258406j),(-28.67104189206562+67.7009762597685j)
(33.53061900465011-60.448201971613656j),(39.640473348302706-100.422731766681j),(-7.271653627183454+40.98236268077996j),(-26.04739445318219+93.31661743512757j)
(-10.686724204097949-44.765841016329276j),(17.176622851263943-4.4675260201836675j),(-3.2507386109663683+19.233731377750235j),(-33.03767289693859+50.00369807030328j)
(-21.797660682947814-34.77715494729183j),(-70.30640717328022-34.10669721798236j),(31.64729179580299+6.264001728936217j),(40.30990495520684+14.203589074384036j)
(-41.35645575577157-53.33272284416335j),(-37.57674265120027-84.97964124704866j),(10.665640173784915+66.43148272622688j),(2.736670484825101+34.781415452257185j)
(-8.638569458770721-47.92772171401556j),(25.30911159976747-100.02316916348583j),(1.279027787192053+35.13859434775479j),(-9.715502806416872+79.69918417697582j)
(7.069599028024441-3.2143049016295056j),(66.00335947314652-12.360582312687011j),(-3.246619142920242+12.412116995245446j),(-3.428618904624233-11.430251660955484j)
(-25.202200025462247+18.07647996209951j),(12.817568694746345+37.2224250706161j),(-3.6421735862537825-24.964830087246032j),(0.332984280687881-2.6361888703437106j)
(-21.50599974263836+7.801961324095567j),(-12.130616775512221+21.45531834256478j),(5.830211188855728-44.99446575515395j),(-4.845271797319567+29.515409233226478j)
(47.61303640382406-41.505904592358256j),(76.38878187572277-55.611077934290414j),(-10.660305703673815+14.240397802346655j),(-34.18831571114819+24.00336211256066j)
(36.966486843251054-3.229792773495916j),(119.21363834471282-8.071794448136806j),(18.607102180619002+30.970300575714774j),(-82.55525202504654-2.061075309685176j)
(68.78343863875246+39.23398448684207j),(136.97146390906755+7.228605638512528j),(-28.517821643928382-42.209598228468096j),(-46.55501238876121-50.60405814856796j)
(23.246784019280618-45.186743036536974j),(43.69193352473046-21.207675732643906j),(-38.2965147091349+13.149553908261408j),(-0.6656268530172604-1.5325180875859115j)
(28.386073507875132-46.03107767191687j),(38.66882411806865-58.544182923382216j),(17.090917859744746-11.511111361299243j),(-0.9853878517969399+16.760584709903977j)
(80.22310040221736-57.818871750430844j),(61.416231300736435-78.08908098218056j),(-36.268091372922484+0.38724691324850546j),(-82.09112729441362+75.10465140140371j)
(49.92293492740633-44.90616497934768j),(88.42107472627809-43.66787040879826j),(-10.458820038650742-5.729544338784221j),(-60.338901650197144+48.44582891227005j)
(-23.958373942754008+4.025798921617307j),(-17.378070995889544+24.18941242086041j),(-45.227849196890475+7.927626373463003j),(1.1974318620406048+1.1552446446537332j)
(-25.43123437945857-38.331440299235716j),(-49.769659853947914-3.8702932372444288j),(-2.246139739143749+26.452640866513164j),(11.995489891401318+14.244912731508649j)
(4.269461090412121-37.63653711018299j),(10.573562462207118-81.31875463598803j),(-15.229032148240318-18.481856756740427j),(-9.434815482639081+31.917659805936495j)
